candle_begin_time,open,high,low,close,volume
2018-09-25 18:05:00,5.1162,5.1186,5.05,5.05,116834.11007842
2018-09-25 18:10:00,5.05,5.0564,5.0,5.0467,476840.01318218006
2018-09-25 18:15:00,5.0429,5.1822,5.04,5.17493528,187516.6053381
2018-09-25 18:20:00,5.1756,5.3033,5.172999999999999,5.3033,327765.92232754
2018-09-25 18:25:00,5.3032,5.3085,5.2568,5.2588,113540.87114313
2018-09-25 18:30:00,5.2581,5.3646,5.2552,5.3637,200536.69212919
2018-09-25 18:35:00,5.3648,5.3848,5.2934,5.314,282704.43107675994
2018-09-25 18:40:00,5.307,5.3269,5.2733,5.3152,118387.66279212
2018-09-25 18:45:00,5.3153,5.3398,5.2727,5.27898891,57438.81563618
2018-09-25 18:50:00,5.277,5.3114,5.2699,5.2926,100714.24745636
2018-09-25 18:55:00,5.2958,5.30993864,5.2860000000000005,5.2860000000000005,25010.88547629
2018-09-25 19:00:00,5.28699112,5.3322,5.284,5.3229,42604.22458408
2018-09-25 19:05:00,5.3221,5.345,5.3166,5.3376,45646.05074613
2018-09-25 19:10:00,5.33859761,5.341,5.3213,5.3295,19076.17895163
2018-09-25 19:15:00,5.3297,5.3366,5.3009,5.3114,30745.56349044
2018-09-25 19:20:00,5.3138,5.3207,5.306,5.3144,11614.32556133
2018-09-25 19:25:00,5.318,5.33132866,5.3032,5.3034,27545.01442636
2018-09-25 19:30:00,5.3024,5.3261,5.3019,5.3211,8292.552812240001
2018-09-25 19:35:00,5.3212,5.3648,5.313,5.3648,38375.82532815
2018-09-25 19:40:00,5.3626,5.4,5.3338,5.4,105890.06778523
2018-09-25 19:45:00,5.4,5.4405,5.3851,5.40657555,227948.89928776
2018-09-25 19:50:00,5.402,5.4478,5.3861,5.425,141290.88793663002
2018-09-25 19:55:00,5.421,5.4256,5.3686,5.3899,73444.65839599
2018-09-25 20:00:00,5.3901,5.425,5.3901,5.4233,48929.96365287001
2018-09-25 20:05:00,5.4234,5.4307,5.4102,5.4174,18424.22578422
2018-09-25 20:10:00,5.4173,5.4207,5.4024,5.42,13664.86636906
2018-09-25 20:15:00,5.4214,5.4439,5.3941,5.4051,72215.78291356
2018-09-25 20:20:00,5.4051,5.4403,5.3999,5.4384,34494.25002815
2018-09-25 20:25:00,5.4321,5.4343,5.4012,5.4256,36590.2044951
2018-09-25 20:30:00,5.4259,5.4334,5.3979,5.4311,24833.39217274
2018-09-25 20:35:00,5.4312,5.438,5.4174,5.4213,21973.57016247
2018-09-25 20:40:00,5.4248,5.43020994,5.4006,5.4166,36767.11516439
